City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Mount Gambier,AU,-37.8333,140.7667,43.41,91,0,5.32,clear sky
La Palma,US,33.8464,-118.0467,67.01,85,0,3.44,clear sky
Hirara,JP,24.8,125.2833,80.15,71,83,20.74,broken clouds
Beisfjord,NO,68.3751,17.5988,50.05,97,100,4.65,overcast clouds
Kieta,PG,-6.2167,155.6333,78.37,83,100,2.53,light rain
Paita,PE,-5.0892,-81.1144,65.01,85,94,11.99,overcast clouds
Ambunti,PG,-4.2365,142.8448,75.63,93,62,3.06,moderate rain
Clyde River,CA,70.4692,-68.5914,35.83,100,100,11.5,overcast clouds
San Angelo,US,31.4638,-100.437,70.02,82,0,0.0,clear sky
Halifax,CA,44.6453,-63.5724,53.6,81,96,5.75,overcast clouds
Brigantine,US,39.4101,-74.3646,74.03,84,0,4.61,clear sky
Yar-Sale,RU,66.8333,70.8333,47.82,76,100,6.78,overcast clouds
Kroya,ID,-7.6331,109.2461,76.84,84,79,9.73,broken clouds
Gayeri,BF,12.6497,0.4931,86.31,59,33,2.98,scattered clouds
Chifeng,CN,42.2683,118.9636,51.35,32,100,5.03,overcast clouds
Matara,LK,5.9485,80.5353,79.77,83,100,11.86,overcast clouds
Salacgriva,LV,57.7536,24.3581,57.76,70,100,16.98,overcast clouds
Mapiripan,CO,2.8892,-72.1256,79.21,84,67,2.64,broken clouds
Palmer,US,42.1584,-72.3287,67.77,93,75,0.0,broken clouds
Jablah,SY,35.3614,35.9256,82.8,64,0,8.21,clear sky
Lamar,US,33.6668,-95.5836,72.64,93,0,5.75,clear sky
Wana,PK,32.2989,69.5725,82.08,32,0,8.59,clear sky
Ikom,NG,5.9667,8.7063,78.69,89,100,2.04,moderate rain
Yumen,CN,40.2833,97.2,68.5,36,0,14.32,clear sky
Mankono,CI,8.0586,-6.1897,78.87,80,100,5.79,light rain
Srednekolymsk,RU,67.45,153.6833,42.28,50,100,9.08,overcast clouds
Juneau,US,58.3019,-134.4197,48.22,100,40,0.0,fog
Fukue,JP,32.6881,128.8419,74.3,78,95,24.34,overcast clouds
Okhotsk,RU,59.3833,143.3,41.61,87,100,30.11,light rain
Tarakan,ID,3.3,117.6333,81.9,78,20,3.44,few clouds
Sibolga,ID,1.7427,98.7792,76.93,81,83,2.51,broken clouds
Vestmanna,FO,62.1564,-7.1664,47.32,100,75,13.8,drizzle
Nouadhibou,MR,20.931,-17.0347,80.58,61,0,14.97,clear sky
Sistranda,NO,63.7256,8.834,51.76,66,21,16.46,few clouds
Victor Harbor,AU,-35.5667,138.6167,52.68,89,0,7.92,clear sky
Noshiro,JP,40.2039,140.0242,73.74,97,93,11.05,overcast clouds
Verkh-Suetka,RU,53.3,80.05,57.47,33,15,5.79,few clouds
Semirom,IR,31.4167,51.5667,67.03,35,99,0.78,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,80.2,75,29,5.01,scattered clouds
Singkang,MY,2.1006,102.7994,76.17,84,93,2.55,overcast clouds
Belmonte,BR,-15.8631,-38.8828,76.35,65,56,9.08,broken clouds
San Vicente,AR,-26.6167,-54.1333,56.59,99,100,2.68,moderate rain
Puerto Escondido,MX,15.85,-97.0667,74.23,64,75,4.61,broken clouds
Phan Thiet,VN,10.9333,108.1,79.9,81,87,7.96,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,61.65,57,0,26.28,clear sky
San Juan,AR,-31.5375,-68.5364,48.27,67,100,9.1,overcast clouds
Mushie,CD,-3.0167,16.9,88.32,51,98,1.61,light rain
Tutoia,BR,-2.7619,-42.2744,86.99,55,93,10.27,overcast clouds
Maniitsoq,GL,65.4167,-52.9,43.14,82,100,4.72,overcast clouds
Dingle,PH,10.9995,122.6711,76.78,88,100,5.3,overcast clouds
Mayo,US,38.8876,-76.5119,72.99,87,40,1.99,scattered clouds
San Cataldo,IT,37.4841,13.9854,82.45,47,100,1.99,overcast clouds
Burgos,ES,42.3394,-3.7079,75.61,38,20,2.3,few clouds
Poum,NC,-20.2333,164.0167,75.69,75,19,12.35,few clouds
Torbay,CA,47.6666,-52.7314,54.39,79,75,16.11,broken clouds
Thunder Bay,CA,48.4001,-89.3168,48.11,100,40,2.3,fog
Olafsvik,IS,64.8945,-23.7142,49.82,96,100,9.31,light rain
Serta,PT,39.8085,-8.0988,76.44,44,100,5.01,overcast clouds
Solnechnyy,RU,50.7214,136.6319,38.93,90,100,3.29,overcast clouds
Road Town,VG,18.4167,-64.6167,84.29,94,40,13.8,scattered clouds
Svetlogorsk,BY,52.6333,29.7333,51.73,86,100,15.79,overcast clouds
East Islip,US,40.732,-73.1857,72.97,81,75,5.75,broken clouds
Ambilobe,MG,-13.2,49.05,89.02,29,0,2.91,clear sky
Elizabeth City,US,36.2946,-76.2511,70.05,98,0,0.0,clear sky
Touros,BR,-5.1989,-35.4608,84.34,54,21,17.52,few clouds
Freetown,SL,8.484,-13.2299,80.71,72,96,8.79,light rain
Cairns,AU,-16.9167,145.7667,76.95,89,40,3.44,scattered clouds
Murgab,TM,37.4966,61.9714,91.27,18,0,6.91,clear sky
Faya,SA,18.3851,42.4509,78.91,47,98,10.92,light rain
Mabaruma,GY,8.2,-59.7833,86.02,67,22,4.34,few clouds
Lodja,CD,-3.4833,23.4333,86.77,50,62,2.19,broken clouds
Roma,US,43.2128,-75.4557,68.83,97,40,4.61,scattered clouds
Shevchenkove,UA,49.6959,37.1735,63.72,38,6,18.72,clear sky
Saldanha,ZA,-33.0117,17.9442,64.45,62,0,17.22,clear sky
Juan Aldama,MX,24.2908,-103.3944,59.85,85,84,11.48,broken clouds
The Valley,AI,18.217,-63.0578,83.1,79,100,15.3,overcast clouds
Paamiut,GL,61.994,-49.6678,44.13,76,14,4.7,few clouds
Alta Floresta,BR,-9.8756,-56.0861,76.82,88,75,4.61,mist
Borogontsy,RU,62.6683,131.1683,28.71,87,15,7.7,few clouds
Chapais,CA,49.7834,-74.8492,40.78,51,45,8.79,scattered clouds
Yamoto,JP,38.4274,141.2149,75.18,91,100,25.1,overcast clouds
Waw,SS,7.7029,27.9953,89.42,53,69,3.76,broken clouds
Rabak,SD,13.1809,32.74,96.04,37,18,5.3,few clouds
Jinchang,CN,38.4953,102.1739,55.26,76,96,5.82,overcast clouds
Pisco,PE,-13.7,-76.2167,59.05,88,100,5.75,mist
Sangar,RU,63.9242,127.4739,29.5,84,5,7.0,clear sky
Arrecife,ES,28.963,-13.5477,78.78,73,40,4.61,scattered clouds
Kathmandu,NP,27.7167,85.3167,71.82,88,75,6.91,heavy intensity rain
Tuatapere,NZ,-46.1333,167.6833,45.54,93,59,5.77,broken clouds
Yarmouth,US,41.7057,-70.2286,67.08,90,100,8.05,overcast clouds
Kamenka,RU,51.3223,42.7678,65.52,39,10,16.93,clear sky
Shihezi,CN,44.3,86.0333,71.28,12,94,6.29,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,93,100,2.3,light rain
Korla,CN,41.7597,86.1469,77.13,16,0,4.03,clear sky
Yerbogachen,RU,61.2767,108.0108,40.17,98,100,5.77,overcast clouds
Chumikan,RU,54.7183,135.315,41.13,55,100,18.43,overcast clouds
Fuerte,PH,17.5381,120.3644,81.1,67,100,12.15,overcast clouds
Osoyoos,CA,49.0331,-119.4524,45.01,93,0,0.0,clear sky
Littlehampton,GB,50.8069,-0.5378,65.48,67,82,0.27,broken clouds
Tulun,RU,54.5611,100.5792,49.03,70,100,1.34,overcast clouds
Liverpool,GB,53.4106,-2.9779,63.9,75,40,8.05,scattered clouds
Joigny,FR,47.9829,3.401,61.81,38,4,8.9,clear sky
High Rock,BS,26.6208,-78.2833,78.82,71,99,9.69,overcast clouds
Port Hedland,AU,-20.3167,118.5667,73.45,78,6,12.66,clear sky
Greymouth,NZ,-42.4667,171.2,47.32,93,100,6.4,moderate rain
Gornopravdinsk,RU,60.05,69.9,54.09,77,100,5.21,overcast clouds
Maltahohe,NA,-24.8333,16.9833,63.5,15,0,13.96,clear sky
Sola,VU,-13.8833,167.55,81.27,83,75,9.22,broken clouds
Kusti,SD,13.1629,32.6635,96.17,36,16,4.92,few clouds
Alamosa,US,37.4695,-105.87,51.78,82,0,0.0,clear sky
Gobindpur,IN,22.6333,86.0667,80.08,89,93,5.82,overcast clouds
Brenham,US,30.1669,-96.3977,74.03,69,100,0.0,mist
Malmesbury,ZA,-33.4608,18.7271,64.78,41,5,14.81,clear sky
Cusuna,HN,15.85,-85.2333,77.83,87,40,3.27,scattered clouds
Araouane,ML,18.9048,-3.5265,100.38,20,100,11.48,overcast clouds
Axim,GH,4.8699,-2.2405,79.27,76,54,12.01,light rain
Westport,US,41.1415,-73.3579,71.85,82,100,3.44,overcast clouds
Limoeiro De Anadia,BR,-9.7406,-36.5028,79.74,62,79,7.99,broken clouds
Hambantota,LK,6.1241,81.1185,86.34,74,20,12.66,few clouds
Half Moon Bay,US,37.4636,-122.4286,61.61,91,0,4.61,clear sky
Pontianak,ID,-0.0333,109.3333,73.38,100,40,3.44,scattered clouds
Nueva Loja,EC,0.0847,-76.8828,73.42,94,0,2.3,clear sky
Talnakh,RU,69.4865,88.3972,31.21,88,85,10.07,overcast clouds
Pingliang,CN,35.5392,106.6861,57.11,84,100,12.82,overcast clouds
Harper,LR,4.375,-7.7169,80.94,72,61,10.69,light rain
Neulengbach,AT,48.1974,15.9022,56.32,85,100,15.01,light rain
Bako,ET,5.7833,36.5667,84.38,31,44,3.51,scattered clouds
Eyl,SO,7.9803,49.8164,84.83,63,99,28.52,overcast clouds
San Cristobal,VE,7.7669,-72.225,68.18,79,86,2.04,overcast clouds
Baiyin,CN,36.5583,104.2081,52.61,74,100,6.98,overcast clouds
Kavaratti,IN,10.5669,72.642,81.19,77,85,14.61,overcast clouds
Roald,NO,62.5833,6.1333,55.76,87,75,4.61,broken clouds
Mayskiy,RU,47.6931,40.1025,71.01,29,0,10.25,clear sky
Okha,RU,53.5739,142.9478,46.15,87,92,8.08,overcast clouds
Tougue,GN,11.4667,-11.6,75.47,79,96,1.52,overcast clouds
Petauke,ZM,-14.2426,31.3253,95.67,11,1,1.39,clear sky
Les Cayes,HT,18.2,-73.75,86.2,60,69,13.8,broken clouds
Glenluce,GB,54.8798,-4.8084,58.46,82,95,6.22,overcast clouds
Amga,RU,60.8953,131.9608,30.61,89,100,7.45,overcast clouds
Kodinsk,RU,58.6881,99.1844,46.18,95,100,8.46,moderate rain
Aklavik,CA,68.2191,-135.0107,42.75,72,94,3.38,overcast clouds
Cidreira,BR,-30.1811,-50.2056,60.44,85,100,13.06,heavy intensity rain
Bonavista,CA,48.6499,-53.1147,51.73,72,100,16.24,overcast clouds
Yankton,US,42.8711,-97.3973,61.12,100,0,4.61,mist
Ondjiva,AO,-17.0667,15.7333,84.24,8,0,9.22,clear sky
Ubatuba,BR,-23.4339,-45.0711,71.33,63,0,6.02,clear sky
Kyabe,TD,9.4515,18.9449,85.59,67,86,2.64,overcast clouds
Fort Dodge,US,42.4975,-94.168,59.02,94,100,4.61,fog
Kefalos,GR,36.7453,26.9589,84.42,45,0,13.8,clear sky
Serowe,BW,-22.3833,26.7167,93.92,11,6,16.73,clear sky
Kota,IN,25.1833,75.8333,85.41,56,17,9.01,few clouds
Simbahan,PH,6.3032,120.5836,84.38,68,81,2.93,broken clouds
Mezen,RU,65.8522,44.24,55.35,75,100,6.49,overcast clouds
Bereznik,RU,62.8551,42.7072,53.13,87,99,11.45,overcast clouds
Baghdad,IQ,33.3406,44.4009,105.71,15,0,5.75,clear sky
Dourados,BR,-22.2211,-54.8056,76.39,46,28,15.14,scattered clouds
Kanniyakumari,IN,8.0833,77.5667,80.38,81,100,20.04,overcast clouds
Severnoye,RU,56.3491,78.3619,58.39,57,100,6.24,overcast clouds
Aswan,EG,24.0934,32.907,101.05,8,3,17.65,clear sky
Muzhi,RU,65.3667,64.6667,52.16,77,100,1.79,overcast clouds
Rajgurunagar,IN,18.8667,73.9,71.8,86,75,10.27,broken clouds
Uarini,BR,-2.99,-65.1083,85.17,63,15,0.83,few clouds
Lae,PG,-6.7221,146.9847,73.22,92,100,10.8,overcast clouds
Necochea,AR,-38.5473,-58.7368,55.94,91,100,6.89,light rain
Hastings,GB,50.8552,0.5729,65.95,52,33,4.74,scattered clouds
Bay Roberts,CA,47.5999,-53.2648,56.34,76,17,5.99,few clouds
Tonekabon,IR,36.8163,50.8738,84.15,58,39,5.37,scattered clouds
Bilibino,RU,68.0546,166.4372,24.93,87,9,1.59,clear sky
Samarai,PG,-10.6167,150.6667,80.82,83,99,14.76,overcast clouds
Lagunas,PE,-5.2269,-75.6753,81.57,56,100,2.42,overcast clouds
Aripuana,BR,-9.1667,-60.6333,89.06,51,11,0.94,few clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,91,20,5.75,few clouds
Guiratinga,BR,-16.3494,-53.7583,90.27,39,3,10.22,clear sky
Chernyshevskiy,RU,63.0128,112.4714,37.02,98,100,4.05,overcast clouds
Bhuj,IN,23.2667,69.6667,86.32,52,8,13.06,clear sky
Saryg-Sep,RU,51.5,95.6,48.02,47,0,3.42,clear sky
Bose,IT,45.4612,8.0137,77.23,29,0,5.08,clear sky
Saint Anthony,US,45.0205,-93.218,57.22,95,0,5.75,fog
Camacha,PT,33.0833,-16.3333,72.82,69,40,10.36,scattered clouds
Nuuk,GL,64.1835,-51.7216,48.81,81,0,1.14,clear sky
Ishigaki,JP,24.3448,124.1572,78.93,78,56,9.22,broken clouds
Rawson,AR,-43.3002,-65.1023,41.27,94,100,22.7,moderate rain
Quesnel,CA,52.9999,-122.5029,41.5,100,0,3.44,clear sky
Swan Hill,AU,-35.3378,143.5544,46.02,77,0,7.34,clear sky
Goderich,CA,43.7501,-81.7165,70.92,88,11,2.3,few clouds
Pitimbu,BR,-7.4706,-34.8086,81.19,58,46,12.55,scattered clouds
Ahar,IR,38.4774,47.0699,88.79,13,24,7.94,few clouds
Izumo,JP,35.3667,132.7667,73.35,93,100,29.01,light rain
Anchorage,US,61.2181,-149.9003,50.92,92,100,8.05,moderate rain
La Asuncion,VE,11.0333,-63.8628,91.13,62,15,9.22,few clouds
Dakar,SN,14.6937,-17.4441,86.88,74,75,11.5,broken clouds
Zhezkazgan,KZ,47.8043,67.7144,75.18,12,0,15.66,clear sky
Palmeira,BR,-25.4294,-50.0064,58.89,66,100,6.42,overcast clouds
Lypnyazhka,UA,48.4469,31.0761,63.18,39,56,12.71,broken clouds
Shellbrook,CA,53.2168,-106.4011,38.43,78,100,5.73,overcast clouds
Nanortalik,GL,60.1432,-45.2371,42.6,99,100,2.73,moderate rain
Porto Uniao,BR,-26.2381,-51.0783,58.21,68,100,3.87,moderate rain
Ambon,ID,-3.6954,128.1814,79.23,14,40,3.44,scattered clouds
Kinsale,IE,51.7075,-8.5306,65.57,55,75,4.61,broken clouds
Nakamura,JP,32.9833,132.9333,72.18,90,100,10.65,overcast clouds
Pierre,US,44.3683,-100.351,63.28,82,0,6.91,clear sky
Abyek,IR,36.0667,50.55,91.06,12,1,5.84,clear sky
Udgir,IN,18.3833,77.1167,73.81,83,100,9.66,overcast clouds
Shahr-E Kord,IR,32.3256,50.8644,80.37,13,40,16.11,scattered clouds
Manoel Urbano,BR,-8.8389,-69.2597,86.5,51,3,2.75,clear sky
Xining,CN,36.6167,101.7667,50.29,87,100,4.14,overcast clouds
Calderitas,MX,18.55,-88.25,75.31,100,40,0.0,scattered clouds
Vammala,FI,61.3333,22.9,56.1,81,99,9.15,overcast clouds
Derzhavinsk,KZ,51.1,66.3167,70.66,17,0,6.6,clear sky
Pandan,PH,14.0453,124.1694,82.27,75,100,10.11,overcast clouds
Moree,AU,-29.4667,149.85,53.19,64,0,8.84,clear sky
Barcelona,ES,41.3888,2.159,84.61,61,20,11.5,few clouds
Key West,US,24.5557,-81.7826,84.2,79,20,4.61,few clouds
Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.02,87,75,10.22,broken clouds
Hwange,ZW,-18.3693,26.5019,99.46,12,5,4.72,clear sky
La Seyne-Sur-Mer,FR,43.0982,5.8847,81.88,38,53,11.01,broken clouds
Namibe,AO,-15.1961,12.1522,72.23,73,0,11.5,clear sky
Adrar,MR,20.5022,-10.0711,95.92,21,22,6.91,few clouds
Forestville,US,38.8451,-76.875,71.35,87,20,4.61,few clouds
Zhaotong,CN,27.3167,103.7167,64.33,92,100,6.33,overcast clouds
Pascagoula,US,30.3658,-88.5561,73.45,100,0,0.0,clear sky
Amazar,RU,53.858,120.875,32.95,74,10,3.38,clear sky
Shakawe,BW,-18.3667,21.85,98.04,12,6,6.76,clear sky
Mosquera,CO,4.7059,-74.2302,46.49,100,40,2.3,fog
Mariental,NA,-24.6333,17.9667,62.87,19,0,17.87,clear sky
Ghanzi,BW,-21.5667,21.7833,82.98,12,0,13.49,clear sky
Thinadhoo,MV,0.5333,72.9333,83.14,71,84,7.34,broken clouds
Erechim,BR,-27.6342,-52.2739,52.75,96,100,5.46,moderate rain
Salta,AR,-24.7859,-65.4117,63.19,45,1,10.36,clear sky
Shieli,KZ,44.1667,66.75,82.08,14,0,15.28,clear sky
Binzhou,CN,37.3667,118.0167,61.11,45,8,4.21,clear sky
Staunton,US,38.1496,-79.0717,64.09,70,0,0.0,clear sky
Rosetta,EG,31.4044,30.4164,82.2,66,0,13.09,clear sky
Klyuchi,RU,52.2667,79.1667,59.34,27,21,5.26,few clouds
Dharmadam,IN,11.7833,75.4333,78.08,85,100,7.27,overcast clouds
Vangaindrano,MG,-23.35,47.6,74.28,69,1,9.66,clear sky
Sayyan,YE,15.1718,44.3244,76.86,22,99,12.39,overcast clouds
Marshall,US,34.3834,-86.3333,69.37,91,0,0.0,clear sky
Venezuela,VE,8.0,-66.0,80.65,79,15,4.79,few clouds
Puchov,SK,49.1249,18.326,53.35,82,100,8.1,overcast clouds
Gusau,NG,12.1628,6.6614,77.67,74,100,4.25,light rain
Hami,CN,42.8,93.45,75.31,12,5,7.16,clear sky
Alofi,NU,-19.0595,-169.9187,71.49,100,75,4.61,broken clouds
Marrakesh,MA,31.6315,-8.0083,80.67,54,75,4.61,broken clouds
Japura,ID,-0.3167,102.35,74.98,95,96,2.98,overcast clouds
Kaupanger,NO,61.1845,7.2404,57.09,46,20,5.75,few clouds
Ponta Delgada,PT,37.7333,-25.6667,80.51,65,20,9.22,few clouds
Buala,SB,-8.145,159.5921,79.95,84,85,7.18,light rain
Nykoping,SE,58.753,17.0079,55.8,76,75,13.8,broken clouds
Saint-Georges,GD,12.0564,-61.7485,85.68,74,40,13.8,scattered clouds
Versalles,FR,48.8,2.1333,65.68,47,0,8.05,clear sky
Den Helder,NL,52.9599,4.7593,61.97,63,75,13.0,broken clouds
Megion,RU,61.0296,76.1136,59.02,66,99,14.03,overcast clouds
Kondoa,TZ,-4.9,35.7833,84.76,26,72,7.63,broken clouds
Riwaka,NZ,-41.0833,173.0,47.7,83,15,3.87,few clouds
Mayumba,GA,-3.432,10.6554,77.81,80,91,10.69,overcast clouds
Ixtapa,MX,20.7,-105.2,78.22,94,75,5.75,broken clouds
Wundanyi,KE,-3.4019,38.364,71.67,52,100,13.24,overcast clouds
Bac Lieu,VN,9.285,105.7244,79.05,84,17,9.4,few clouds
Berlevag,NO,70.8578,29.0864,44.6,93,75,20.71,broken clouds
Saint-Augustin,CA,51.226,-58.6502,45.01,61,100,13.8,overcast clouds
Chekhov,RU,55.1431,37.4711,51.69,87,100,21.85,light rain
Marsa Matruh,EG,31.3525,27.2453,84.4,65,40,14.97,scattered clouds
Banjar,ID,-8.19,114.9675,75.69,86,10,9.24,clear sky
Mecca,SA,21.4267,39.8261,100.96,15,31,20.98,scattered clouds
Domoni,KM,-12.2569,44.5319,77.9,74,53,5.5,light rain
Zdunska Wola,PL,51.5992,18.9397,52.21,78,100,4.0,overcast clouds
San Joaquin,US,37.9333,-121.3011,63.28,86,73,4.47,broken clouds
Presidente Medici,BR,-11.1753,-61.9014,88.57,47,79,6.96,broken clouds
Senigallia,IT,43.7093,13.2167,77.09,71,75,1.99,broken clouds
Ha Giang,VN,22.8333,104.9833,80.44,83,6,1.52,clear sky
Vilhena,BR,-12.7406,-60.1458,77.22,78,45,12.66,mist
Varkkallai,IN,8.7341,76.7067,82.18,87,100,9.84,overcast clouds
Songkhla,TH,6.8333,100.6667,84.25,86,98,3.8,overcast clouds
Beringovskiy,RU,63.05,179.3167,38.1,80,99,9.98,overcast clouds
Tutayev,RU,57.8853,39.5406,51.28,70,100,17.87,overcast clouds
Duluth,US,46.7833,-92.1066,62.35,91,0,9.22,clear sky
Alekseyevka,RU,50.6309,38.6903,62.19,49,5,18.21,clear sky
Opuwo,NA,-18.0607,13.84,87.12,9,0,19.17,clear sky
Chippewa Falls,US,44.9369,-91.3929,55.98,97,100,3.44,fog
Hobbs,US,32.7026,-103.136,66.67,79,0,6.91,clear sky
Hartselle,US,34.4434,-86.9353,69.08,100,0,1.57,clear sky
Rio Grande,BR,-32.035,-52.0986,62.71,82,100,11.27,light rain
Tinaquillo,VE,9.9186,-68.3047,75.27,76,31,1.36,scattered clouds
Ligayan,PH,4.6533,119.4706,85.06,70,59,7.11,broken clouds
Sterling,US,39.0062,-77.4286,70.21,90,20,0.0,mist
Igarka,RU,67.4667,86.5833,42.71,95,100,10.92,overcast clouds
Homer,US,59.6425,-151.5483,53.47,95,100,6.91,moderate rain
Hay River,CA,60.8156,-115.7999,51.78,82,75,9.22,broken clouds
Yaan,NG,7.3833,8.5667,76.98,88,100,8.32,moderate rain
Warri,NG,5.5167,5.75,83.12,68,84,11.36,moderate rain
Port Macquarie,AU,-31.4333,152.9167,55.89,75,0,5.39,clear sky
Moron,AR,-34.6534,-58.6198,62.35,86,100,6.44,overcast clouds
Mazyr,BY,52.0495,29.2456,52.65,80,100,15.59,overcast clouds
Plonsk,PL,52.6235,20.3755,50.77,86,100,13.58,overcast clouds
San Luis,AR,-33.295,-66.3356,43.2,73,89,11.59,overcast clouds
Filadelfia,US,39.9523,-75.1638,72.01,87,20,6.91,few clouds
Wajima,JP,37.4,136.9,81.54,71,100,7.14,moderate rain
Szprotawa,PL,51.5656,15.5366,61.12,77,100,12.24,overcast clouds
Naujamiestis,LT,55.6869,24.1523,56.82,71,100,13.02,overcast clouds
Vedasandur,IN,10.5333,77.95,83.68,61,100,14.81,overcast clouds
Khed Brahma,IN,24.0333,73.05,82.89,70,59,9.93,broken clouds
Waipawa,NZ,-41.4122,175.5153,53.53,88,84,7.2,broken clouds
Kemijarvi,FI,66.7131,27.4306,44.98,92,100,11.77,overcast clouds
Moerai,PF,-22.4333,-151.3333,73.22,83,0,9.28,clear sky
Bardstown,US,37.8092,-85.4669,69.6,90,58,1.99,broken clouds
Umm Kaddadah,SD,13.6017,26.6876,97.27,25,100,7.05,overcast clouds
Carman,CA,49.4992,-98.0016,52.72,100,95,1.14,overcast clouds
Hanyang,CN,32.1371,105.5126,64.04,92,100,6.46,overcast clouds
Alcudia,ES,39.8532,3.1214,86.2,46,33,8.37,scattered clouds
Yairipok,IN,24.6667,94.0667,72.05,94,1,3.22,clear sky
Sauda,NO,59.6506,6.3542,59.68,51,14,4.34,few clouds
Meulaboh,ID,4.1363,96.1285,78.98,82,100,3.62,overcast clouds
Krechevitsy,RU,58.617,31.401,49.21,94,100,18.1,overcast clouds
Madaras,HU,46.0587,19.2612,58.46,58,77,10.49,broken clouds
Karratha,AU,-20.7377,116.8463,75.22,28,0,18.7,clear sky
Peace River,CA,56.2501,-117.286,48.51,98,100,10.36,light intensity shower rain
Villaviciosa,ES,43.4813,-5.4357,76.6,68,61,9.82,broken clouds
Banda Aceh,ID,5.5577,95.3222,80.6,79,96,11.25,overcast clouds
Labuan,MY,5.2767,115.2417,75.56,94,40,6.91,moderate rain
Naifaru,MV,5.4444,73.3657,81.43,77,100,11.63,overcast clouds
Shibganj,BD,24.6829,88.1598,82.15,78,9,5.82,clear sky
Ouro Preto Do Oeste,BR,-10.7481,-62.2158,88.66,45,42,6.58,scattered clouds
Agudos,BR,-22.4692,-48.9875,66.45,63,0,11.5,clear sky
Hermiston,US,45.8404,-119.2895,58.95,93,0,0.0,clear sky
San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,93,75,3.44,broken clouds
Alwar,IN,27.5667,76.6,90.05,39,71,4.32,broken clouds
Plettenberg Bay,ZA,-34.0527,23.3716,59.81,52,25,12.84,scattered clouds
Vanavara,RU,60.34,102.2797,44.67,94,100,9.44,light rain
Pafos,CY,34.7667,32.4167,83.98,58,20,11.5,few clouds
Qaqortoq,GL,60.7167,-46.0333,44.91,84,87,2.84,overcast clouds
Dudinka,RU,69.4058,86.1778,31.62,78,29,20.96,scattered clouds
Grande Prairie,CA,55.1667,-118.8027,44.78,87,75,11.5,broken clouds
